trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,8,-53.99206600679399,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-135.53410843374476,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-122.74169373283083,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-181.9919589748388,"{0: 14, 1: 3, 2: 2, 3: 4, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-43.0525939453166,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-142.5891086827553,"{0: 13, 1: 1, 2: 9, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-188.0929111051558,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-99.96357648330132,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-85.99755383449744,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-80.29683672049286,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-161.69075223989753,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,3,-94.70209856823585,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-56.55934257882493,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",35,0,-127.57807345786891,"{0: 24, 1: 2, 2: 5, 3: 3, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-48.849559421929456,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-4.470318892752706,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,13,-3.4681541877235604,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-16.268556944029072,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-64.08479977918513,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0}",20,7,24.189761438680478,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,-10.747855276112958,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",30,2,-152.2846986828564,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 3}",1
3,True,"{'a': 0, 'e': 0}",20,0,-56.01480211219777,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",25,0,-67.38516416748914,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,-38.162897960696014,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-79.19562618007546,"{0: 16, 1: 0, 2: 0, 3: 3, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-111.90658753544365,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",30,0,-124.0504521882942,"{0: 25, 1: 0, 2: 0, 3: 2, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",20,0,0.0468987953245944,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",35,0,-132.10330928816595,"{0: 29, 1: 0, 2: 1, 3: 2, 4: 3}",0
