trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.25, 'e': 0.9950124791926823}",20,0,-86.9958011723398,"{0: 12, 1: 1, 2: 4, 3: 3, 4: 0}",0
2,False,"{'a': 0.25, 'e': 0.9900498337491681}",20,0,-109.30436149967151,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
3,False,"{'a': 0.25, 'e': 0.9851119396030626}",25,0,-71.70781914112345,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.25, 'e': 0.9801986733067553}",25,18,-1.9513966899174044,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 0.25, 'e': 0.9753099120283326}",20,0,-88.06211385520572,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.25, 'e': 0.9704455335485082}",25,0,-108.38971151129168,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.25, 'e': 0.9656054162575665}",20,0,-87.43648690008072,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.25, 'e': 0.9607894391523232}",30,0,-94.14683736866186,"{0: 19, 1: 4, 2: 5, 3: 2, 4: 0}",0
9,False,"{'a': 0.25, 'e': 0.9559974818331}",20,0,-97.62403122988442,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
10,False,"{'a': 0.25, 'e': 0.951229424500714}",20,0,-124.35806694830377,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
11,False,"{'a': 0.25, 'e': 0.9464851479534838}",30,0,-134.7843519721872,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
12,False,"{'a': 0.25, 'e': 0.9417645335842487}",35,0,-257.76096163735815,"{0: 19, 1: 2, 2: 7, 3: 4, 4: 3}",0
13,False,"{'a': 0.25, 'e': 0.9370674633774034}",25,0,-155.41329937634998,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
14,False,"{'a': 0.25, 'e': 0.9323938199059483}",20,0,-62.833265274934355,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
15,False,"{'a': 0.25, 'e': 0.9277434863285529}",20,0,-66.68228926131309,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
16,False,"{'a': 0.25, 'e': 0.9231163463866358}",25,0,-145.57905313550708,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
17,False,"{'a': 0.25, 'e': 0.9185122844014574}",20,0,-102.59700625237505,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
18,False,"{'a': 0.25, 'e': 0.9139311852712282}",20,0,-61.09511630007441,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.25, 'e': 0.9093729344682314}",20,0,-160.48689288418237,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
20,False,"{'a': 0.25, 'e': 0.9048374180359595}",20,0,-79.42547612333439,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
21,False,"{'a': 0.25, 'e': 0.9003245225862656}",25,0,-98.13615684531595,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
22,False,"{'a': 0.25, 'e': 0.8958341352965282}",20,0,-110.15753095823061,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
23,False,"{'a': 0.25, 'e': 0.8913661439068313}",35,0,-197.5347606157297,"{0: 22, 1: 1, 2: 8, 3: 1, 4: 3}",0
24,False,"{'a': 0.25, 'e': 0.8869204367171575}",20,0,-10.02593419449326,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
25,False,"{'a': 0.25, 'e': 0.8824969025845955}",25,18,0.5395887652798947,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.25, 'e': 0.8780954309205613}",30,1,-157.83863415341153,"{0: 19, 1: 3, 2: 4, 3: 0, 4: 3}",1
27,False,"{'a': 0.25, 'e': 0.8737159116880344}",20,0,-56.14927642557172,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
28,False,"{'a': 0.25, 'e': 0.8693582353988059}",20,0,-72.42059368989621,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
29,False,"{'a': 0.25, 'e': 0.8650222931107413}",20,0,-64.51981036326555,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
30,False,"{'a': 0.25, 'e': 0.8607079764250578}",20,0,-110.05794394738366,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
31,False,"{'a': 0.25, 'e': 0.8564151774836135}",25,1,-54.42865258201941,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 0}",1
32,False,"{'a': 0.25, 'e': 0.8521437889662113}",30,0,-32.528668995807124,"{0: 23, 1: 3, 2: 3, 3: 1, 4: 0}",0
33,False,"{'a': 0.25, 'e': 0.8478937040879159}",20,0,-97.16780677264913,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
34,False,"{'a': 0.25, 'e': 0.8436648165963837}",20,0,-85.8747040767314,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
35,False,"{'a': 0.25, 'e': 0.8394570207692074}",25,0,-100.30188990957012,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
36,False,"{'a': 0.25, 'e': 0.835270211411272}",20,0,-45.360783157467125,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
37,False,"{'a': 0.25, 'e': 0.8311042838521256}",25,0,-51.750321337897205,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
38,False,"{'a': 0.25, 'e': 0.8269591339433623}",20,0,-51.57949950933221,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
39,False,"{'a': 0.25, 'e': 0.8228346580560184}",30,21,-10.995468554945703,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
40,False,"{'a': 0.25, 'e': 0.8187307530779818}",25,16,2.778420974519954,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.25, 'e': 0.8146473164114145}",20,0,-124.96894823888381,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
42,False,"{'a': 0.25, 'e': 0.8105842459701871}",30,0,-110.13598349075349,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
43,False,"{'a': 0.25, 'e': 0.8065414401773269}",30,6,-65.17821638819709,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 0}",1
44,False,"{'a': 0.25, 'e': 0.8025187979624785}",25,0,-84.6977999096369,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
45,False,"{'a': 0.25, 'e': 0.7985162187593771}",25,0,-70.773827280966,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
46,False,"{'a': 0.25, 'e': 0.794533602503334}",20,12,-42.961563149121964,"{0: 5, 1: 0, 2: 1, 3: 2, 4: 0}",1
47,False,"{'a': 0.25, 'e': 0.7905708496287356}",20,0,-57.68516296301662,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
48,False,"{'a': 0.25, 'e': 0.7866278610665535}",25,1,-51.84294155746511,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 0}",1
49,False,"{'a': 0.25, 'e': 0.7827045382418681}",25,0,-105.2051023009614,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
50,False,"{'a': 0.25, 'e': 0.7788007830714049}",20,7,-21.677259756039046,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
51,False,"{'a': 0.25, 'e': 0.774916497961081}",25,0,-30.854893055254795,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
52,False,"{'a': 0.25, 'e': 0.7710515858035663}",30,0,-58.626209223937366,"{0: 19, 1: 6, 2: 4, 3: 1, 4: 0}",0
53,False,"{'a': 0.25, 'e': 0.7672059499758557}",25,11,-10.497358083883459,"{0: 11, 1: 2, 2: 0, 3: 1, 4: 0}",1
54,False,"{'a': 0.25, 'e': 0.7633794943368531}",20,0,-77.76241623905142,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
55,False,"{'a': 0.25, 'e': 0.7595721232249685}",25,10,-27.88266747990953,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 1}",1
56,False,"{'a': 0.25, 'e': 0.7557837414557255}",35,13,-11.09239989890952,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 1}",1
57,False,"{'a': 0.25, 'e': 0.7520142543193826}",20,0,-36.231439610697095,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
58,False,"{'a': 0.25, 'e': 0.7482635675785653}",35,0,-73.0508234556302,"{0: 27, 1: 1, 2: 6, 3: 0, 4: 1}",0
59,False,"{'a': 0.25, 'e': 0.7445315874659094}",35,0,-63.42124347157336,"{0: 26, 1: 3, 2: 5, 3: 0, 4: 1}",0
60,False,"{'a': 0.25, 'e': 0.7408182206817179}",20,14,-11.293349168256949,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
61,False,"{'a': 0.25, 'e': 0.7371233743916278}",25,0,-43.25017094296832,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
62,False,"{'a': 0.25, 'e': 0.7334469562242892}",20,4,-89.484376878455,"{0: 11, 1: 2, 2: 0, 3: 1, 4: 2}",1
63,False,"{'a': 0.25, 'e': 0.7297888742690568}",30,0,-70.55380427381031,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
64,False,"{'a': 0.25, 'e': 0.7261490370736909}",25,0,-146.09468618914948,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
65,False,"{'a': 0.25, 'e': 0.7225273536420722}",25,0,-122.02885028911363,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
66,False,"{'a': 0.25, 'e': 0.7189237334319262}",25,17,-2.02283497846558,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.25, 'e': 0.7153380863525599}",20,0,-106.86268964517231,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
68,False,"{'a': 0.25, 'e': 0.7117703227626097}",25,0,-34.62527219446888,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
69,False,"{'a': 0.25, 'e': 0.7082203534678}",20,0,-124.64643748181531,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
70,False,"{'a': 0.25, 'e': 0.7046880897187134}",20,0,-120.9149695026244,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
71,False,"{'a': 0.25, 'e': 0.7011734432085724}",25,11,-32.188384818980296,"{0: 9, 1: 0, 2: 5, 3: 0, 4: 0}",1
72,False,"{'a': 0.25, 'e': 0.697676326071031}",20,0,-94.10671011405529,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
73,False,"{'a': 0.25, 'e': 0.6941966508779789}",20,4,-46.87343578508628,"{0: 11, 1: 1, 2: 2, 3: 2, 4: 0}",1
74,False,"{'a': 0.25, 'e': 0.6907343306373547}",30,13,-127.87245423485088,"{0: 9, 1: 1, 2: 4, 3: 1, 4: 2}",1
75,False,"{'a': 0.25, 'e': 0.6872892787909722}",25,0,-83.5380153846305,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
76,False,"{'a': 0.25, 'e': 0.6838614092123558}",20,11,-1.1943285182735828,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.25, 'e': 0.6804506362045877}",20,0,-67.8441282406429,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
78,False,"{'a': 0.25, 'e': 0.6770568744981647}",20,0,-131.6953476391268,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
79,False,"{'a': 0.25, 'e': 0.6736800392488677}",25,0,5.895649892826467,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
80,False,"{'a': 0.25, 'e': 0.6703200460356393}",20,8,-10.15125532710846,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
81,False,"{'a': 0.25, 'e': 0.6669768108584744}",30,0,-25.135315016313793,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 0}",0
82,False,"{'a': 0.25, 'e': 0.6636502501363194}",25,1,-130.97484548310618,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 2}",1
83,False,"{'a': 0.25, 'e': 0.6603402807049829}",20,0,-51.99967509808438,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
84,False,"{'a': 0.25, 'e': 0.6570468198150567}",25,11,-95.52140256226188,"{0: 9, 1: 2, 2: 0, 3: 1, 4: 2}",1
85,False,"{'a': 0.25, 'e': 0.6537697851298473}",25,0,-63.337545961882974,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
86,False,"{'a': 0.25, 'e': 0.6505090947233165}",20,0,4.035201834883335,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
87,False,"{'a': 0.25, 'e': 0.6472646670780347}",20,14,-1.001390340121441,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.25, 'e': 0.6440364210831414}",25,0,-194.3262585074558,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 5}",0
89,False,"{'a': 0.25, 'e': 0.6408242760323187}",20,0,-47.70688983703041,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
90,False,"{'a': 0.25, 'e': 0.6376281516217733}",25,0,3.0505924546218424,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
91,False,"{'a': 0.25, 'e': 0.6344479679482282}",30,0,-86.42195764229412,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
92,False,"{'a': 0.25, 'e': 0.631283645506926}",30,18,22.306689888246492,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.25, 'e': 0.6281351051896408}",25,7,-64.37552920327674,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 1}",1
94,False,"{'a': 0.25, 'e': 0.6250022682827008}",25,15,-27.580657367143466,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
95,False,"{'a': 0.25, 'e': 0.62188505646502}",30,16,-62.42259427075415,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
96,False,"{'a': 0.25, 'e': 0.6187833918061408}",20,0,22.841791773601074,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
97,False,"{'a': 0.25, 'e': 0.6156971967642851}",25,0,-46.892919590885406,"{0: 16, 1: 6, 2: 3, 3: 0, 4: 0}",0
98,False,"{'a': 0.25, 'e': 0.6126263941844161}",30,19,-1.3487831884444483,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.25, 'e': 0.6095709072963093}",25,0,-33.26944526868143,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
100,False,"{'a': 0.25, 'e': 0.6065306597126334}",20,0,-14.270566137012118,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
101,False,"{'a': 0.25, 'e': 0.6035055754270405}",20,0,-33.37864589191324,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
102,False,"{'a': 0.25, 'e': 0.6004955788122659}",30,0,-25.97315587269329,"{0: 23, 1: 4, 2: 2, 3: 1, 4: 0}",0
